,English Name,Scientific Name,SoIB 2023 Priority Status,Order,Family,Endemicity,Habitat Specialization,IUCN Category,CITES Appendix,source
0,Fulvous Whistling Duck,Dendrocygna bicolor,Low,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Non-endemic,Wetland,Least Concern,,West_Bengal
1,Lesser Whistling Duck,Dendrocygna javanica,Low,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Non-endemic,Wetland,Least Concern,,West_Bengal
2,Bar-headed Goose,Anser indicus,Moderate,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Non-endemic,Wetland,Least Concern,,West_Bengal
3,Greylag Goose,Anser anser,Low,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Non-endemic,Wetland,Least Concern,,West_Bengal
4,Knob-billed Duck,Sarkidiornis melanotos,Low,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Non-endemic,Wetland,Least Concern,Appendix II,West_Bengal
5,Ruddy Shelduck,Tadorna ferruginea,High,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Non-endemic,Wetland,Least Concern,,West_Bengal
6,Cotton Pygmy Goose,Nettapus coromandelianus,Moderate,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Non-endemic,Wetland,Least Concern,,West_Bengal
7,Garganey,Spatula querquedula,High,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Non-endemic,Wetland,Least Concern,,West_Bengal
8,Northern Shoveler,Spatula clypeata,High,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Non-endemic,Wetland,Least Concern,,West_Bengal
9,Gadwall,Mareca strepera,Moderate,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Non-endemic,Wetland,Least Concern,,West_Bengal
10,Falcated Duck,Mareca falcata,Moderate,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Non-endemic,Wetland,Near Threatened,,West_Bengal
11,Eurasian Wigeon,Mareca penelope,Moderate,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Non-endemic,Wetland,Least Concern,,West_Bengal
12,Indian Spot-billed Duck,Anas poecilorhyncha,Low,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Non-endemic,Wetland,Least Concern,,West_Bengal
13,Mallard,Anas platyrhynchos,Low,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Non-endemic,Wetland,Least Concern,,West_Bengal
14,Northern Pintail,Anas acuta,High,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Non-endemic,Wetland,Least Concern,,West_Bengal
15,Common Teal,Anas crecca,High,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Non-endemic,Wetland,Least Concern,,West_Bengal
16,Red-crested Pochard,Netta rufina,Low,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Non-endemic,Wetland,Least Concern,,West_Bengal
17,Common Pochard,Aythya ferina,High,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Non-endemic,Wetland,Vulnerable,,West_Bengal
18,Ferruginous Duck,Aythya nyroca,Moderate,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Non-endemic,Wetland,Near Threatened,,West_Bengal
19,Tufted Duck,Aythya fuligula,High,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Non-endemic,Wetland,Least Concern,,West_Bengal
